hotel_id,hotel_name,n_comment,n_star,url,Price
36,"Shangri-La Hotel, At The Shard, London",3371,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d6484754-Reviews-Shangri_La_Hotel_At_The_Shard_London-London_England.html,£478
37,The Resident Covent Garden (formerly The Nadler Covent Garden),447,5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d15134890-Reviews-The_Resident_Covent_Garden_formerly_The_Nadler_Covent_Garden-London_England.html,£258
38,The Royal Horseguards,6045,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d193079-Reviews-The_Royal_Horseguards-London_England.html,£298
39,SponsoredThe Prince Akatoki London,71,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d1626349-Reviews-The_Prince_Akatoki_London-London_England.html,£383
40,Residence Inn Marriott London Kensington,559,3.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d13451678-Reviews-Residence_Inn_Marriott_London_Kensington-London_England.html,£159
41,Montcalm Royal London House - City of London,2172,5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d10810215-Reviews-Montcalm_Royal_London_House_City_of_London-London_England.html,£244
42,The Rembrandt,3459,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d193667-Reviews-The_Rembrandt-London_England.html,£227
43,"St. James' Court, A Taj Hotel",5019,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d265539-Reviews-St_James_Court_A_Taj_Hotel-London_England.html,£233
44,Ibis London Earls Court,5489,3.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d192139-Reviews-Ibis_London_Earls_Court-London_England.html,£118
45,London Marriott Hotel Regents Park,2842,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d193049-Reviews-London_Marriott_Hotel_Regents_Park-London_England.html,£191
46,Hilton London Canary Wharf,4622,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d585836-Reviews-Hilton_London_Canary_Wharf-London_England.html,£234
47,Leonardo Royal London Tower Bridge,753,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d2048553-Reviews-Leonardo_Royal_London_Tower_Bridge-London_England.html,£133
48,DoubleTree by Hilton London Greenwich,2270,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d3507299-Reviews-DoubleTree_by_Hilton_London_Greenwich-London_England.html,£89
49,Park Plaza London Riverbank,2098,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d577593-Reviews-Park_Plaza_London_Riverbank-London_England.html,£184
50,The Resident Kensington (formerly The Nadler Kensington),4428,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d189735-Reviews-The_Resident_Kensington_formerly_The_Nadler_Kensington-London_England.html,£133
51,Park Plaza London Riverbank,1526,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d548136-Reviews-Park_Plaza_London_Riverbank-London_England.html,£180
52,Park Grand London Lancaster Gate,3015,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d258944-Reviews-Park_Grand_London_Lancaster_Gate-London_England.html,£182
53,Travelodge London Raynes Park,376,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d7612712-Reviews-Travelodge_London_Raynes_Park-London_England.html,£61
54,Montana Hotel,1176,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d254585-Reviews-Montana_Hotel-London_England.html,£118
